model,task,run_id,episode_id,condition_id,persona,property,baseline_topk_mean,persona_topk_mean,topk_mean_delta,baseline_positional_mean,persona_positional_mean,positional_mean_delta,rank_shift_property_corr
llama3.1:8b,generated_dataset,1777266478,E0001,psychiatry,concerned psychiatrist,trauma_norm,0.5625,0.53125,-0.03125,0.522727,0.509091,-0.013636,-0.273861
llama3.1:8b,generated_dataset,1777266478,E0001,psychiatry,concerned psychiatrist,psych_norm,0.4375,0.40625,-0.03125,0.45,0.454545,0.004545,0.085686
llama3.1:8b,generated_dataset,1777266478,E0001,psychiatry,concerned psychiatrist,age_norm,0.352275,0.272725,-0.07955,0.398349,0.394216,-0.004133,-0.086777
llama3.1:8b,generated_dataset,1777266478,E0001,psychiatry,concerned psychiatrist,wait_hours_norm,0.285725,0.464275,0.17855,0.387016,0.412989,0.025973,0.468697
llama3.1:8b,generated_dataset,1777266478,E0001,psychiatry,concerned psychiatrist,cost_usd_norm,0.750025,0.68335,-0.066675,0.556382,0.553956,-0.002425,-0.045963
llama3.1:8b,generated_dataset,1777266478,E0001,psychiatry,concerned psychiatrist,treatment_hours_norm,0.714275,0.678575,-0.0357,0.540262,0.540262,-0.0,-0.0
llama3.1:8b,generated_dataset,1777266478,E0001,psychiatry,concerned psychiatrist,caregiver_support_norm,0.5,0.25,-0.25,0.472727,0.436364,-0.036364,-0.447214
llama3.1:8b,generated_dataset,1777266478,E0001,psychiatry,concerned psychiatrist,caregiver_absent_norm,0.5,0.75,0.25,0.527273,0.563636,0.036364,0.447214
llama3.1:8b,generated_dataset,1777266478,E0001,psychiatry,concerned psychiatrist,clinical_priority_score,0.654925,0.634175,-0.02075,0.626636,0.624527,-0.002109,-0.128151
llama3.1:8b,generated_dataset,1777266478,E0001,psychiatry,concerned psychiatrist,social_vulnerability_score,0.424275,0.606975,0.1827,0.472865,0.500556,0.027691,0.573486
llama3.1:8b,generated_dataset,1777266478,E0001,psychiatry,concerned psychiatrist,financial_pressure_score,0.735725,0.681425,-0.0543,0.549929,0.548471,-0.001458,-0.027748
llama3.1:8b,generated_dataset,1777266478,E0001,psychiatry,concerned psychiatrist,psychiatric_need_score,0.4375,0.40625,-0.03125,0.45,0.454545,0.004545,0.085686
llama3.1:8b,generated_dataset,1777266478,E0001,psychiatry,concerned psychiatrist,resource_intensity_score,0.732125,0.68095,-0.051175,0.548304,0.547093,-0.001211,-0.023037
llama3.1:8b,generated_dataset,1777266478,E0001,revenue,Revenue officer,trauma_norm,0.5625,0.59375,0.03125,0.522727,0.525,0.002273,0.032275
llama3.1:8b,generated_dataset,1777266478,E0001,revenue,Revenue officer,psych_norm,0.4375,0.34375,-0.09375,0.45,0.431818,-0.018182,-0.242357
llama3.1:8b,generated_dataset,1777266478,E0001,revenue,Revenue officer,age_norm,0.352275,0.4375,0.085225,0.398349,0.427687,0.029338,0.435596
llama3.1:8b,generated_dataset,1777266478,E0001,revenue,Revenue officer,wait_hours_norm,0.285725,0.35715,0.071425,0.387016,0.428575,0.041558,0.530293
llama3.1:8b,generated_dataset,1777266478,E0001,revenue,Revenue officer,cost_usd_norm,0.750025,0.650025,-0.1,0.556382,0.547898,-0.008484,-0.11368
llama3.1:8b,generated_dataset,1777266478,E0001,revenue,Revenue officer,treatment_hours_norm,0.714275,0.64285,-0.071425,0.540262,0.532467,-0.007795,-0.103942
llama3.1:8b,generated_dataset,1777266478,E0001,revenue,Revenue officer,caregiver_support_norm,0.5,0.5,0.0,0.472727,0.472727,0.0,0.0
llama3.1:8b,generated_dataset,1777266478,E0001,revenue,Revenue officer,caregiver_absent_norm,0.5,0.5,0.0,0.527273,0.527273,0.0,0.0
llama3.1:8b,generated_dataset,1777266478,E0001,revenue,Revenue officer,clinical_priority_score,0.654925,0.6538,-0.001125,0.626636,0.620989,-0.005647,-0.242634
llama3.1:8b,generated_dataset,1777266478,E0001,revenue,Revenue officer,social_vulnerability_score,0.424275,0.4549,0.030625,0.472865,0.487655,0.014789,0.216577
llama3.1:8b,generated_dataset,1777266478,E0001,revenue,Revenue officer,financial_pressure_score,0.735725,0.64715,-0.088575,0.549929,0.541718,-0.008211,-0.110485
llama3.1:8b,generated_dataset,1777266478,E0001,revenue,Revenue officer,psychiatric_need_score,0.4375,0.34375,-0.09375,0.45,0.431818,-0.018182,-0.242357
llama3.1:8b,generated_dataset,1777266478,E0001,revenue,Revenue officer,resource_intensity_score,0.732125,0.646425,-0.0857,0.548304,0.540165,-0.008138,-0.109477
llama3.1:8b,generated_dataset,1777266478,E0001,social_worker,Social worker,trauma_norm,0.5625,0.71875,0.15625,0.522727,0.545455,0.022727,0.30429
llama3.1:8b,generated_dataset,1777266478,E0001,social_worker,Social worker,psych_norm,0.4375,0.28125,-0.15625,0.45,0.427273,-0.022727,-0.285621
llama3.1:8b,generated_dataset,1777266478,E0001,social_worker,Social worker,age_norm,0.352275,0.602275,0.25,0.398349,0.442978,0.044629,0.62473
llama3.1:8b,generated_dataset,1777266478,E0001,social_worker,Social worker,wait_hours_norm,0.285725,0.2143,-0.071425,0.387016,0.363642,-0.023375,-0.281207
llama3.1:8b,generated_dataset,1777266478,E0001,social_worker,Social worker,cost_usd_norm,0.750025,0.5667,-0.183325,0.556382,0.523656,-0.032725,-0.41344
llama3.1:8b,generated_dataset,1777266478,E0001,social_worker,Social worker,treatment_hours_norm,0.714275,0.571425,-0.14285,0.540262,0.511691,-0.028571,-0.359209
llama3.1:8b,generated_dataset,1777266478,E0001,social_worker,Social worker,caregiver_support_norm,0.5,0.75,0.25,0.472727,0.527273,0.054545,0.447214
llama3.1:8b,generated_dataset,1777266478,E0001,social_worker,Social worker,caregiver_absent_norm,0.5,0.25,-0.25,0.527273,0.472727,-0.054545,-0.447214
llama3.1:8b,generated_dataset,1777266478,E0001,social_worker,Social worker,clinical_priority_score,0.654925,0.643525,-0.0114,0.626636,0.627736,0.0011,0.044558
llama3.1:8b,generated_dataset,1777266478,E0001,social_worker,Social worker,social_vulnerability_score,0.424275,0.2939,-0.130375,0.472865,0.440985,-0.03188,-0.440162
llama3.1:8b,generated_dataset,1777266478,E0001,social_worker,Social worker,financial_pressure_score,0.735725,0.5686,-0.167125,0.549929,0.518869,-0.03106,-0.394036
llama3.1:8b,generated_dataset,1777266478,E0001,social_worker,Social worker,psychiatric_need_score,0.4375,0.28125,-0.15625,0.45,0.427273,-0.022727,-0.285621
llama3.1:8b,generated_dataset,1777266478,E0001,social_worker,Social worker,resource_intensity_score,0.732125,0.56905,-0.163075,0.548304,0.517656,-0.030647,-0.388696
llama3.1:8b,generated_dataset,1777266478,E0002,psychiatry,concerned psychiatrist,trauma_norm,0.78125,0.71875,-0.0625,0.627273,0.604545,-0.022727,-0.372678
llama3.1:8b,generated_dataset,1777266478,E0002,psychiatry,concerned psychiatrist,psych_norm,0.15625,0.3125,0.15625,0.356818,0.393182,0.036364,0.559701
llama3.1:8b,generated_dataset,1777266478,E0002,psychiatry,concerned psychiatrist,age_norm,0.477275,0.335225,-0.14205,0.438018,0.416944,-0.021075,-0.361309
llama3.1:8b,generated_dataset,1777266478,E0002,psychiatry,concerned psychiatrist,wait_hours_norm,0.321425,0.10715,-0.214275,0.319484,0.306498,-0.012985,-0.191331
llama3.1:8b,generated_dataset,1777266478,E0002,psychiatry,concerned psychiatrist,cost_usd_norm,0.350025,0.366675,0.01665,0.376985,0.385469,0.008484,0.131267
llama3.1:8b,generated_dataset,1777266478,E0002,psychiatry,concerned psychiatrist,treatment_hours_norm,0.35715,0.392875,0.035725,0.376633,0.384427,0.007795,0.120022
llama3.1:8b,generated_dataset,1777266478,E0002,psychiatry,concerned psychiatrist,caregiver_support_norm,0.5,0.5,0.0,0.509091,0.545455,0.036364,0.365148
llama3.1:8b,generated_dataset,1777266478,E0002,psychiatry,concerned psychiatrist,caregiver_absent_norm,0.5,0.5,0.0,0.490909,0.454545,-0.036364,-0.365148
llama3.1:8b,generated_dataset,1777266478,E0002,psychiatry,concerned psychiatrist,clinical_priority_score,0.664525,0.720975,0.05645,0.647462,0.652264,0.004802,0.238226
llama3.1:8b,generated_dataset,1777266478,E0002,psychiatry,concerned psychiatrist,social_vulnerability_score,0.45195,0.377075,-0.074875,0.44012,0.411893,-0.028227,-0.477319
llama3.1:8b,generated_dataset,1777266478,E0002,psychiatry,concerned psychiatrist,financial_pressure_score,0.352875,0.37715,0.024275,0.37684,0.385049,0.008209,0.127549
llama3.1:8b,generated_dataset,1777266478,E0002,psychiatry,concerned psychiatrist,psychiatric_need_score,0.15625,0.3125,0.15625,0.356818,0.393182,0.036364,0.559701
llama3.1:8b,generated_dataset,1777266478,E0002,psychiatry,concerned psychiatrist,resource_intensity_score,0.353575,0.379775,0.0262,0.376796,0.384935,0.008138,0.126413
llama3.1:8b,generated_dataset,1777266478,E0002,revenue,Revenue officer,trauma_norm,0.78125,0.625,-0.15625,0.627273,0.543182,-0.084091,-0.498003
llama3.1:8b,generated_dataset,1777266478,E0002,revenue,Revenue officer,psych_norm,0.15625,0.40625,0.25,0.356818,0.429545,0.072727,0.40428
llama3.1:8b,generated_dataset,1777266478,E0002,revenue,Revenue officer,age_norm,0.477275,0.42045,-0.056825,0.438018,0.408264,-0.029755,-0.184234
llama3.1:8b,generated_dataset,1777266478,E0002,revenue,Revenue officer,wait_hours_norm,0.321425,0.35715,0.035725,0.319484,0.433767,0.114284,0.608149
llama3.1:8b,generated_dataset,1777266478,E0002,revenue,Revenue officer,cost_usd_norm,0.350025,0.38335,0.033325,0.376985,0.437591,0.060605,0.338674
llama3.1:8b,generated_dataset,1777266478,E0002,revenue,Revenue officer,treatment_hours_norm,0.35715,0.392875,0.035725,0.376633,0.433776,0.057144,0.317785
llama3.1:8b,generated_dataset,1777266478,E0002,revenue,Revenue officer,caregiver_support_norm,0.5,0.75,0.25,0.509091,0.527273,0.018182,0.065938
llama3.1:8b,generated_dataset,1777266478,E0002,revenue,Revenue officer,caregiver_absent_norm,0.5,0.25,-0.25,0.490909,0.472727,-0.018182,-0.065938
llama3.1:8b,generated_dataset,1777266478,E0002,revenue,Revenue officer,clinical_priority_score,0.664525,0.67255,0.008025,0.647462,0.633178,-0.014284,-0.255928
llama3.1:8b,generated_dataset,1777266478,E0002,revenue,Revenue officer,social_vulnerability_score,0.45195,0.30235,-0.1496,0.44012,0.453313,0.013193,0.08057
llama3.1:8b,generated_dataset,1777266478,E0002,revenue,Revenue officer,financial_pressure_score,0.352875,0.38715,0.034275,0.37684,0.436055,0.059215,0.332281
llama3.1:8b,generated_dataset,1777266478,E0002,revenue,Revenue officer,psychiatric_need_score,0.15625,0.40625,0.25,0.356818,0.429545,0.072727,0.40428
llama3.1:8b,generated_dataset,1777266478,E0002,revenue,Revenue officer,resource_intensity_score,0.353575,0.3881,0.034525,0.376796,0.435669,0.058873,0.330275
llama3.1:8b,generated_dataset,1777266478,E0002,social_worker,Social worker,trauma_norm,0.78125,0.71875,-0.0625,0.627273,0.622727,-0.004545,-0.182574
llama3.1:8b,generated_dataset,1777266478,E0002,social_worker,Social worker,psych_norm,0.15625,0.3125,0.15625,0.356818,0.368182,0.011364,0.428432
llama3.1:8b,generated_dataset,1777266478,E0002,social_worker,Social worker,age_norm,0.477275,0.335225,-0.14205,0.438018,0.427687,-0.010331,-0.433845
llama3.1:8b,generated_dataset,1777266478,E0002,social_worker,Social worker,wait_hours_norm,0.321425,0.10715,-0.214275,0.319484,0.3039,-0.015584,-0.562436
llama3.1:8b,generated_dataset,1777266478,E0002,social_worker,Social worker,cost_usd_norm,0.350025,0.366675,0.01665,0.376985,0.378196,0.001211,0.045894
llama3.1:8b,generated_dataset,1777266478,E0002,social_worker,Social worker,treatment_hours_norm,0.35715,0.392875,0.035725,0.376633,0.379231,0.002598,0.097997
llama3.1:8b,generated_dataset,1777266478,E0002,social_worker,Social worker,caregiver_support_norm,0.5,0.5,0.0,0.509091,0.509091,0.0,0.0
