model,task,run_id,episode_id,condition_id,persona,property,baseline_topk_mean,persona_topk_mean,topk_mean_delta,baseline_positional_mean,persona_positional_mean,positional_mean_delta,rank_shift_property_corr
llama3.1:8b,generated_dataset,1777266478,E0002,social_worker,Social worker,caregiver_absent_norm,0.5,0.5,0.0,0.490909,0.490909,0.0,0.0
llama3.1:8b,generated_dataset,1777266478,E0002,social_worker,Social worker,clinical_priority_score,0.664525,0.720975,0.05645,0.647462,0.651567,0.004105,0.498907
llama3.1:8b,generated_dataset,1777266478,E0002,social_worker,Social worker,social_vulnerability_score,0.45195,0.377075,-0.074875,0.44012,0.434675,-0.005445,-0.225553
llama3.1:8b,generated_dataset,1777266478,E0002,social_worker,Social worker,financial_pressure_score,0.352875,0.37715,0.024275,0.37684,0.378605,0.001765,0.067191
llama3.1:8b,generated_dataset,1777266478,E0002,social_worker,Social worker,psychiatric_need_score,0.15625,0.3125,0.15625,0.356818,0.368182,0.011364,0.428432
llama3.1:8b,generated_dataset,1777266478,E0002,social_worker,Social worker,resource_intensity_score,0.353575,0.379775,0.0262,0.376796,0.378702,0.001905,0.0725
llama3.1:8b,generated_dataset,1777266478,E0003,psychiatry,concerned psychiatrist,trauma_norm,0.71875,0.71875,0.0,0.570455,0.559091,-0.011364,-0.172516
llama3.1:8b,generated_dataset,1777266478,E0003,psychiatry,concerned psychiatrist,psych_norm,0.3125,0.3125,0.0,0.429545,0.434091,0.004545,0.064773
llama3.1:8b,generated_dataset,1777266478,E0003,psychiatry,concerned psychiatrist,age_norm,0.335225,0.335225,0.0,0.375205,0.342149,-0.033056,-0.524689
llama3.1:8b,generated_dataset,1777266478,E0003,psychiatry,concerned psychiatrist,wait_hours_norm,0.10715,0.10715,0.0,0.296111,0.309095,0.012984,0.177114
llama3.1:8b,generated_dataset,1777266478,E0003,psychiatry,concerned psychiatrist,cost_usd_norm,0.366675,0.366675,0.0,0.453344,0.465465,0.012122,0.173647
llama3.1:8b,generated_dataset,1777266478,E0003,psychiatry,concerned psychiatrist,treatment_hours_norm,0.392875,0.392875,0.0,0.451955,0.459749,0.007795,0.111118
llama3.1:8b,generated_dataset,1777266478,E0003,psychiatry,concerned psychiatrist,caregiver_support_norm,0.5,0.5,0.0,0.454545,0.436364,-0.018182,-0.169031
llama3.1:8b,generated_dataset,1777266478,E0003,psychiatry,concerned psychiatrist,caregiver_absent_norm,0.5,0.5,0.0,0.545455,0.563636,0.018182,0.169031
llama3.1:8b,generated_dataset,1777266478,E0003,psychiatry,concerned psychiatrist,clinical_priority_score,0.720975,0.720975,0.0,0.660607,0.657395,-0.003213,-0.147565
llama3.1:8b,generated_dataset,1777266478,E0003,psychiatry,concerned psychiatrist,social_vulnerability_score,0.377075,0.377075,0.0,0.457584,0.46678,0.009196,0.143973
llama3.1:8b,generated_dataset,1777266478,E0003,psychiatry,concerned psychiatrist,financial_pressure_score,0.37715,0.37715,0.0,0.452776,0.463171,0.010395,0.149525
llama3.1:8b,generated_dataset,1777266478,E0003,psychiatry,concerned psychiatrist,psychiatric_need_score,0.3125,0.3125,0.0,0.429545,0.434091,0.004545,0.064773
llama3.1:8b,generated_dataset,1777266478,E0003,psychiatry,concerned psychiatrist,resource_intensity_score,0.379775,0.379775,0.0,0.45264,0.462595,0.009955,0.143157
llama3.1:8b,generated_dataset,1777266478,E0003,revenue,Revenue officer,trauma_norm,0.71875,0.71875,0.0,0.570455,0.556818,-0.013636,-0.273861
llama3.1:8b,generated_dataset,1777266478,E0003,revenue,Revenue officer,psych_norm,0.3125,0.3125,0.0,0.429545,0.443182,0.013636,0.257059
llama3.1:8b,generated_dataset,1777266478,E0003,revenue,Revenue officer,age_norm,0.335225,0.335225,0.0,0.375205,0.352065,-0.02314,-0.48588
llama3.1:8b,generated_dataset,1777266478,E0003,revenue,Revenue officer,wait_hours_norm,0.10715,0.10715,0.0,0.296111,0.314291,0.01818,0.328072
llama3.1:8b,generated_dataset,1777266478,E0003,revenue,Revenue officer,cost_usd_norm,0.366675,0.366675,0.0,0.453344,0.45698,0.003636,0.068911
llama3.1:8b,generated_dataset,1777266478,E0003,revenue,Revenue officer,treatment_hours_norm,0.392875,0.392875,0.0,0.451955,0.451956,2e-06,3.4e-05
llama3.1:8b,generated_dataset,1777266478,E0003,revenue,Revenue officer,caregiver_support_norm,0.5,0.5,0.0,0.454545,0.454545,0.0,0.0
llama3.1:8b,generated_dataset,1777266478,E0003,revenue,Revenue officer,caregiver_absent_norm,0.5,0.5,0.0,0.545455,0.545455,0.0,0.0
llama3.1:8b,generated_dataset,1777266478,E0003,revenue,Revenue officer,clinical_priority_score,0.720975,0.720975,0.0,0.660607,0.658336,-0.002271,-0.137984
llama3.1:8b,generated_dataset,1777266478,E0003,revenue,Revenue officer,social_vulnerability_score,0.377075,0.377075,0.0,0.457584,0.458658,0.001075,0.022254
llama3.1:8b,generated_dataset,1777266478,E0003,revenue,Revenue officer,financial_pressure_score,0.37715,0.37715,0.0,0.452776,0.45496,0.002184,0.041553
llama3.1:8b,generated_dataset,1777266478,E0003,revenue,Revenue officer,psychiatric_need_score,0.3125,0.3125,0.0,0.429545,0.443182,0.013636,0.257059
llama3.1:8b,generated_dataset,1777266478,E0003,revenue,Revenue officer,resource_intensity_score,0.379775,0.379775,0.0,0.45264,0.454456,0.001816,0.034555
llama3.1:8b,generated_dataset,1777266478,E0003,social_worker,Social worker,trauma_norm,0.71875,0.71875,0.0,0.570455,0.568182,-0.002273,-0.091287
llama3.1:8b,generated_dataset,1777266478,E0003,social_worker,Social worker,psych_norm,0.3125,0.3125,0.0,0.429545,0.431818,0.002273,0.085686
llama3.1:8b,generated_dataset,1777266478,E0003,social_worker,Social worker,age_norm,0.335225,0.335225,0.0,0.375205,0.372313,-0.002893,-0.12148
llama3.1:8b,generated_dataset,1777266478,E0003,social_worker,Social worker,wait_hours_norm,0.10715,0.10715,0.0,0.296111,0.301305,0.005195,0.187479
llama3.1:8b,generated_dataset,1777266478,E0003,social_worker,Social worker,cost_usd_norm,0.366675,0.366675,0.0,0.453344,0.461829,0.008485,0.321606
llama3.1:8b,generated_dataset,1777266478,E0003,social_worker,Social worker,treatment_hours_norm,0.392875,0.392875,0.0,0.451955,0.459747,0.007793,0.293923
llama3.1:8b,generated_dataset,1777266478,E0003,social_worker,Social worker,caregiver_support_norm,0.5,0.5,0.0,0.454545,0.472727,0.018182,0.447214
llama3.1:8b,generated_dataset,1777266478,E0003,social_worker,Social worker,caregiver_absent_norm,0.5,0.5,0.0,0.545455,0.527273,-0.018182,-0.447214
llama3.1:8b,generated_dataset,1777266478,E0003,social_worker,Social worker,clinical_priority_score,0.720975,0.720975,0.0,0.660607,0.659389,-0.001218,-0.148037
llama3.1:8b,generated_dataset,1777266478,E0003,social_worker,Social worker,social_vulnerability_score,0.377075,0.377075,0.0,0.457584,0.447538,-0.010045,-0.416088
llama3.1:8b,generated_dataset,1777266478,E0003,social_worker,Social worker,financial_pressure_score,0.37715,0.37715,0.0,0.452776,0.460985,0.008209,0.312429
llama3.1:8b,generated_dataset,1777266478,E0003,social_worker,Social worker,psychiatric_need_score,0.3125,0.3125,0.0,0.429545,0.431818,0.002273,0.085686
llama3.1:8b,generated_dataset,1777266478,E0003,social_worker,Social worker,resource_intensity_score,0.379775,0.379775,0.0,0.45264,0.460778,0.008138,0.309647
llama3.1:8b,generated_dataset,1777266478,E0004,psychiatry,concerned psychiatrist,trauma_norm,0.71875,0.625,-0.09375,0.631818,0.6,-0.031818,-0.285774
llama3.1:8b,generated_dataset,1777266478,E0004,psychiatry,concerned psychiatrist,psych_norm,0.28125,0.46875,0.1875,0.338636,0.404545,0.065909,0.555641
llama3.1:8b,generated_dataset,1777266478,E0004,psychiatry,concerned psychiatrist,age_norm,0.602275,0.397725,-0.20455,0.48802,0.472727,-0.015293,-0.143604
llama3.1:8b,generated_dataset,1777266478,E0004,psychiatry,concerned psychiatrist,wait_hours_norm,0.2143,0.142875,-0.071425,0.314289,0.316891,0.002602,0.020997
llama3.1:8b,generated_dataset,1777266478,E0004,psychiatry,concerned psychiatrist,cost_usd_norm,0.5667,0.53335,-0.03335,0.442445,0.443655,0.001209,0.010247
llama3.1:8b,generated_dataset,1777266478,E0004,psychiatry,concerned psychiatrist,treatment_hours_norm,0.571425,0.535725,-0.0357,0.441564,0.444164,0.0026,0.021928
llama3.1:8b,generated_dataset,1777266478,E0004,psychiatry,concerned psychiatrist,caregiver_support_norm,0.75,0.75,0.0,0.527273,0.618182,0.090909,0.5
llama3.1:8b,generated_dataset,1777266478,E0004,psychiatry,concerned psychiatrist,caregiver_absent_norm,0.25,0.25,0.0,0.472727,0.381818,-0.090909,-0.5
llama3.1:8b,generated_dataset,1777266478,E0004,psychiatry,concerned psychiatrist,clinical_priority_score,0.643525,0.686825,0.0433,0.631064,0.638349,0.007285,0.19797
llama3.1:8b,generated_dataset,1777266478,E0004,psychiatry,concerned psychiatrist,social_vulnerability_score,0.2939,0.245375,-0.048525,0.435405,0.379216,-0.056189,-0.520418
llama3.1:8b,generated_dataset,1777266478,E0004,psychiatry,concerned psychiatrist,financial_pressure_score,0.5686,0.5343,-0.0343,0.442095,0.443855,0.00176,0.014978
llama3.1:8b,generated_dataset,1777266478,E0004,psychiatry,concerned psychiatrist,psychiatric_need_score,0.28125,0.46875,0.1875,0.338636,0.404545,0.065909,0.555641
llama3.1:8b,generated_dataset,1777266478,E0004,psychiatry,concerned psychiatrist,resource_intensity_score,0.56905,0.534525,-0.034525,0.441991,0.443896,0.001905,0.016212
llama3.1:8b,generated_dataset,1777266478,E0004,revenue,Revenue officer,trauma_norm,0.71875,0.71875,0.0,0.631818,0.636364,0.004545,0.091287
llama3.1:8b,generated_dataset,1777266478,E0004,revenue,Revenue officer,psych_norm,0.28125,0.28125,0.0,0.338636,0.345455,0.006818,0.128529
llama3.1:8b,generated_dataset,1777266478,E0004,revenue,Revenue officer,age_norm,0.602275,0.602275,0.0,0.48802,0.50744,0.01942,0.40777
llama3.1:8b,generated_dataset,1777266478,E0004,revenue,Revenue officer,wait_hours_norm,0.2143,0.2143,0.0,0.314289,0.311695,-0.002595,-0.04682
llama3.1:8b,generated_dataset,1777266478,E0004,revenue,Revenue officer,cost_usd_norm,0.5667,0.5667,0.0,0.442445,0.442445,-0.0,-0.0
llama3.1:8b,generated_dataset,1777266478,E0004,revenue,Revenue officer,treatment_hours_norm,0.571425,0.571425,0.0,0.441564,0.441562,-2e-06,-3.4e-05
llama3.1:8b,generated_dataset,1777266478,E0004,revenue,Revenue officer,caregiver_support_norm,0.75,0.75,0.0,0.527273,0.563636,0.036364,0.447214
llama3.1:8b,generated_dataset,1777266478,E0004,revenue,Revenue officer,caregiver_absent_norm,0.25,0.25,0.0,0.472727,0.436364,-0.036364,-0.447214
llama3.1:8b,generated_dataset,1777266478,E0004,revenue,Revenue officer,clinical_priority_score,0.643525,0.643525,0.0,0.631064,0.632184,0.00112,0.068053
llama3.1:8b,generated_dataset,1777266478,E0004,revenue,Revenue officer,social_vulnerability_score,0.2939,0.2939,0.0,0.435405,0.415853,-0.019553,-0.404942
llama3.1:8b,generated_dataset,1777266478,E0004,revenue,Revenue officer,financial_pressure_score,0.5686,0.5686,0.0,0.442095,0.442091,-4e-06,-6.9e-05
llama3.1:8b,generated_dataset,1777266478,E0004,revenue,Revenue officer,psychiatric_need_score,0.28125,0.28125,0.0,0.338636,0.345455,0.006818,0.128529
llama3.1:8b,generated_dataset,1777266478,E0004,revenue,Revenue officer,resource_intensity_score,0.56905,0.56905,0.0,0.441991,0.441991,-0.0,0.0
llama3.1:8b,generated_dataset,1777266478,E0004,social_worker,Social worker,trauma_norm,0.71875,0.71875,0.0,0.631818,0.581818,-0.05,-0.473365
llama3.1:8b,generated_dataset,1777266478,E0004,social_worker,Social worker,psych_norm,0.28125,0.28125,0.0,0.338636,0.409091,0.070455,0.62609
llama3.1:8b,generated_dataset,1777266478,E0004,social_worker,Social worker,age_norm,0.602275,0.602275,0.0,0.48802,0.449587,-0.038433,-0.380418
llama3.1:8b,generated_dataset,1777266478,E0004,social_worker,Social worker,wait_hours_norm,0.2143,0.2143,0.0,0.314289,0.319487,0.005198,0.04422
llama3.1:8b,generated_dataset,1777266478,E0004,social_worker,Social worker,cost_usd_norm,0.5667,0.5667,0.0,0.442445,0.501836,0.059391,0.530557
llama3.1:8b,generated_dataset,1777266478,E0004,social_worker,Social worker,treatment_hours_norm,0.571425,0.571425,0.0,0.441564,0.498705,0.057142,0.507998
llama3.1:8b,generated_dataset,1777266478,E0004,social_worker,Social worker,caregiver_support_norm,0.75,0.75,0.0,0.527273,0.545455,0.018182,0.105409
llama3.1:8b,generated_dataset,1777266478,E0004,social_worker,Social worker,caregiver_absent_norm,0.25,0.25,0.0,0.472727,0.454545,-0.018182,-0.105409
llama3.1:8b,generated_dataset,1777266478,E0004,social_worker,Social worker,clinical_priority_score,0.643525,0.643525,0.0,0.631064,0.63598,0.004916,0.140821
llama3.1:8b,generated_dataset,1777266478,E0004,social_worker,Social worker,social_vulnerability_score,0.2939,0.2939,0.0,0.435405,0.420031,-0.015375,-0.1501
llama3.1:8b,generated_dataset,1777266478,E0004,social_worker,Social worker,financial_pressure_score,0.5686,0.5686,0.0,0.442095,0.50058,0.058485,0.524647
llama3.1:8b,generated_dataset,1777266478,E0004,social_worker,Social worker,psychiatric_need_score,0.28125,0.28125,0.0,0.338636,0.409091,0.070455,0.62609
llama3.1:8b,generated_dataset,1777266478,E0004,social_worker,Social worker,resource_intensity_score,0.56905,0.56905,0.0,0.441991,0.500258,0.058267,0.522551
llama3.1:8b,generated_dataset,1777266478,E0005,psychiatry,concerned psychiatrist,trauma_norm,0.59375,0.625,0.03125,0.552273,0.554545,0.002273,0.017903
llama3.1:8b,generated_dataset,1777266478,E0005,psychiatry,concerned psychiatrist,psych_norm,0.5,0.46875,-0.03125,0.456818,0.463636,0.006818,0.050413
llama3.1:8b,generated_dataset,1777266478,E0005,psychiatry,concerned psychiatrist,age_norm,0.585225,0.397725,-0.1875,0.457025,0.385953,-0.071073,-0.585345
llama3.1:8b,generated_dataset,1777266478,E0005,psychiatry,concerned psychiatrist,wait_hours_norm,0.1786,0.142875,-0.035725,0.29352,0.257153,-0.036367,-0.257412
llama3.1:8b,generated_dataset,1777266478,E0005,psychiatry,concerned psychiatrist,cost_usd_norm,0.48335,0.53335,0.05,0.504258,0.456982,-0.047276,-0.351403
llama3.1:8b,generated_dataset,1777266478,E0005,psychiatry,concerned psychiatrist,treatment_hours_norm,0.5,0.535725,0.035725,0.496104,0.449358,-0.046745,-0.345778
llama3.1:8b,generated_dataset,1777266478,E0005,psychiatry,concerned psychiatrist,caregiver_support_norm,0.75,0.75,0.0,0.545455,0.509091,-0.036364,-0.175412
llama3.1:8b,generated_dataset,1777266478,E0005,psychiatry,concerned psychiatrist,caregiver_absent_norm,0.25,0.25,0.0,0.454545,0.490909,0.036364,0.175412
llama3.1:8b,generated_dataset,1777266478,E0005,psychiatry,concerned psychiatrist,clinical_priority_score,0.6683,0.686825,0.018525,0.645476,0.658998,0.013522,0.32226
llama3.1:8b,generated_dataset,1777266478,E0005,psychiatry,concerned psychiatrist,social_vulnerability_score,0.282425,0.245375,-0.03705,0.414658,0.416727,0.002069,0.016808
llama3.1:8b,generated_dataset,1777266478,E0005,psychiatry,concerned psychiatrist,financial_pressure_score,0.49,0.5343,0.0443,0.500989,0.453929,-0.04706,-0.351254
llama3.1:8b,generated_dataset,1777266478,E0005,psychiatry,concerned psychiatrist,psychiatric_need_score,0.5,0.46875,-0.03125,0.456818,0.463636,0.006818,0.050413
llama3.1:8b,generated_dataset,1777266478,E0005,psychiatry,concerned psychiatrist,resource_intensity_score,0.491675,0.534525,0.04285,0.500169,0.453156,-0.047013,-0.350807
